"Status","Name","Duration in ms","Description"
"passed","test_case_06#test_eval","0",""
"passed","test_case_05#test_answer_01","0",""
"passed","test_sample#test02_fun","1",""
"passed","test_case_03.Test_abc_02#test_a","0",""
"passed","test_case_04.Test_abc_03#test_01","0",""
"failed","test_case_04.Test_abc_03#test_01","0",""
"failed","test_case_05#test_answer","0",""
"failed","test_class.TestClass#test_two","0",""
"passed","test_case_03#test_02","0",""
"failed","test_case_04.Test_abc_03#test_01","0",""
"passed","test_case_06#test_eval","0",""
"passed","test_case.TestCase#test_01","0",""
"passed","test_class.TestClass#test_one","0",""
"passed","test_sysexit#test_mytest","0",""
"failed","test_case#test_fun_01","0",""
"passed","test_case_01.Test_abc#test_02","0",""
"passed","test_case_01.Test_abc#test_01","1",""
"failed","test_case.TestCase#test_02","0",""
"passed","test_case_05#test_fun","0",""
"failed","test_sample#test01_fun","0",""
"passed","test_case_02.Test_abc_01#test_01","0",""
"passed","test_case_02.Test_abc_01#test_02","0",""
"passed","test_case_06#test_eval","0",""
"failed","test_case#test_fun","1",""
